Event / Program,Category,Recurrence (typical),Host / Unit,Volunteer Roles (fit),Primary Audience,Public URL,Point(s) of Contact (published),Contact Email / Phone (published)
AI for a Better Future Hackathon,AI / Hackathon,Annual,College of Business / Mitchell C. Hill Center,Judge; Mentor; Guest speaker,Students (business/tech),https://www.cpp.edu/cba/digital-innovation/what-we-do/ai-hackathon.shtml,Mitchell C. Hill Center (general contact),mhcenter@cpp.edu
AI Hackathon (CPP hub page),AI / Hackathon,Annual,Cal Poly Pomona (event portal),Judge; Mentor; Guest speaker,Students,https://www.cpp.edu/cba/ai-hackathon/index.shtml,See hub page for current routing/contact,See page
Information Technology Competition (ITC),Case competition,Annual,MISSA (student org),Judge; Mentor; Guest speaker,"MIS/IS, analytics, business students",https://www.calpolymissa.org/ITC.html,Wesley Lin & Matthew Kwan (ITC Directors),itcchairs@calpolymissa.org
Bronco Startup Challenge (SIIL),Entrepreneurship / Pitch,Ongoing series + pitch events,Student Innovation Idea Labs (SIIL),Judge; Mentor; Workshop speaker,Student founders / entrepreneurship students,https://www.cpp.edu/siil/about-us/contact-us.shtml,SIIL (general),siil@cpp.edu; 909-869-3741
Bronco Startup Challenge (staff contact),Entrepreneurship / Pitch,Ongoing series + pitch events,Student Innovation Idea Labs (SIIL),Judge; Mentor; Workshop speaker,Student founders / entrepreneurship students,https://www.cpp.edu/siil/about-us/our-staff.shtml,"Y. Olive Li (Director, SIIL)",yaoli@cpp.edu
SWIFT Tech Symposium,Tech symposium / Speakers,Annual,SWIFT (student org),Guest speaker; Workshop lead; Panelist,Students (tech + business),https://techsymposium.calpolyswift.org/,SWIFT Symposium contacts (site lists),Use 'Contact SWIFT' emails on site
BroncoHacks,Hackathon,Recurring (varies by year),BroncoHacks (student-led),Judge; Speaker; Volunteer,Students (hackathon teams),https://broncohacks.carrd.co/,BroncoHacks team (via interest forms),Use 'Want to Judge?' / 'Speaking at our Event' links
OUR — RSCA Conference,Research showcase,Annual (often spring),Office of Undergraduate Research (OUR),Panelist; Reviewer; Guest speaker,Undergraduate researchers,https://www.cpp.edu/our-cpp/index.shtml,OUR (general),our@cpp.edu
OUR — Director contact,Research showcase,Annual,Office of Undergraduate Research (OUR),Panelist; Reviewer; Guest speaker,Undergraduate researchers,https://www.cpp.edu/our-cpp/about/staff.shtml,"Dr. Ever Barraza (Director, OUR)",edbarraza@cpp.edu
OUR — CARS (Creative Activities & Research Symposium),Research symposium,Annual (often summer),Office of Undergraduate Research (OUR),Guest speaker; External discussant,Researchers / students,https://www.cpp.edu/our-cpp/index.shtml,OUR (general),our@cpp.edu
College of Science Research Symposium,Research symposium,Annual,College of Science,Judge/Reviewer (posters); Guest speaker,Science students/researchers,https://www.cpp.edu/sci/events/research-symposium.shtml,College of Science (general contact),sci_dean@cpp.edu (phone listed on page)
CPP Career Center — Employer Engagement,Career services,Recurring each term/year,CPP Career Center,Guest speaker; Panelist; Employer event,Students across majors,https://careercenter.cpp.edu/employer-engagement-opportunities/,Career Center (general),career@cpp.edu; 909-869-2342
CPP Career Center — Career Fairs,Career fairs,Recurring,CPP Career Center,Industry panelist; Employer-side speaker,Students,https://careercenter.cpp.edu/channels/career-fairs/,LaKisha Torrence (Employer Engagement & Events Specialist),lrtorrence@cpp.edu
CPP Career Center — Business college coaching liaison,Career services,Ongoing,CPP Career Center,Guest speaker for business students,College of Business Administration students,https://careercenter.cpp.edu/staff/,"Beth Lee (Lead Career Coach, College of Business Administration)",bethlee@cpp.edu
CPP Career Center — Employer relations / on-campus recruiting,Career services,Ongoing,CPP Career Center,Guest speaker; Recruiting/industry talks,Students + employer partners,https://careercenter.cpp.edu/staff/,Gerard Russo (Employer Relations & On-Campus Recruiting Specialist),gjrusso@cpp.edu
